"ID","CODIGO","NOMBRE","CUOTAS","DIAS","DIAVTO"
"381","63 ","SF 3 CUOTAS                                       ","3","30","10"
"385","65 ","SF 24 CUOTAS                                      ","24","30","10"
"387","67 ","SF 18 CUOTAS                                      ","18","30","20"
"380","62 ","SF 2 CUOTAS                                       ","2","30","10"
"388","68 ","SF 30 CUOTAS                                      ","30","30","10"
"378","60 ","SF  6 CUOTAS                                      ","6","30","10"
"382","32 ","SF 360 DIAS                                       ","1","360","360"
"383","33 ","SF 455 DIAS                                       ","1","455","455"
"384","64 ","SF 10 CUOTAS                                      ","10","30","10"
"175","24 ","SF 26 DIAS                                        ","1","26","26"
"195","18 ","SF 67 DIAS                                        ","1","67","67"
"275","26 ","SF 150 DIAS                                       ","1","150","150"
"295","27 ","SF 152 DIAS                                       ","1","152","152"
"315","28 ","SF 165 DIAS                                       ","1","165","165"
"335","29 ","SF 173 DIAS                                       ","1","173","173"
"155","1  ","CONTADO                                           ","0","30","0"
"156","10 ","CH 1 DIA                                          ","1","1","1"
"157","11 ","CH 8 DIAS                                         ","1","8","8"
"158","12 ","CH 15 DIAS                                        ","1","15","15"
"159","13 ","CH 20 DIAS                                        ","1","20","20"
"160","14 ","CH 30 DIAS                                        ","1","30","30"
"161","15 ","CH 45 DIAS                                        ","1","45","45"
"162","16 ","SF 37 DIAS                                        ","1","37","37"
"163","17 ","CH 90 DIAS                                        ","1","90","90"
"164","2  ","CREDITO 2 DIAS                                    ","1","2","2"
"165","3  ","SF 8 DIAS                                         ","1","8","8"
"166","4  ","SF 15 DIAS                                        ","1","15","15"
"167","5  ","SF 20 DIAS                                        ","1","20","20"
"168","6  ","SF 30 DIAS                                        ","1","30","30"
"169","7  ","SF 45 DIAS                                        ","1","45","45"
"170","8  ","SF 60 DIAS                                        ","1","60","60"
"171","9  ","SF 90 DIAS                                        ","1","90","90"
"215","25 ","SF 52 DIAS                                        ","1","52","52"
"235","19 ","CH 37 DIAS                                        ","1","37","37"
"355","30 ","SF 120 DIAS                                       ","1","120","120"
"255","20 ","SF 180 DIAS                                       ","1","180","180"
"375","21 ","CH 60 DIAS                                        ","1","30","60"
"377","31 ","SF 365 DIAS                                       ","1","365","365"
"376","275","SF 275 Dias                                       ","1","270","0"
"379","61 ","SF 4 CUOTAS                                       ","4","30","10"
"386","66 ","SF 1275                                           ","1","1275","1275"
