codigo;nombre;qualita;id
60;ACTIVO FIJO DISTRIBUCION - CENTRAL;DISTRIBUCION;215
65;ACTIVO FIJO GENERAL - ADM.;ADMINISTRACION;217
66;ACTIVO FIJO GANADERIA;GANADERIA;219
67;ACTIVO FIJO FORESTAL COLONIA;FORESTAL;218
64;ACTIVO FIJO ARRENDAMIENTO;ARRENDAMIENTO;216
61;ACTIVO FIJO DISTRIBUCION - SAN IGN.;DISTRIBUCION;215
62;ACTIVO FIJO DISTRIBUCION - ENC.;DISTRIBUCION;215
63;ACTIVO FIJO DISTRIBUCION - OVIEDO;DISTRIBUCION;215
68;ACTIVO FIJO FORESTAL LOS PINOS;FORESTAL;218
11;ARRENDAMIENTO TRY.;ARRENDAMIENTO;216
12;ARRENDAMIENTO CENTRAL;ARRENDAMIENTO;216
3;COMERCIAL DEPOSITO;DISTRIBUCION;215
5;AGRICOLA;;
40;PETROBRAS;;
50;REFRACTARIO;FORESTAL;218
30;FORESTAL;FORESTAL;218
1;COMERCIAL CENTRAL;DISTRIBUCION;215
4;COMERCIAL ADMINISTRACION;DISTRIBUCION;215
2;COMERCIAL INTERIOR;DISTRIBUCION;215
20;GANADERIA;GANADERIA;219
10;ADMINISTRACION;ADMINISTRACION;217
7;SAN IGNACIO;DISTRIBUCION;215
8;ENCARNACION;DISTRIBUCION;215
9;CNEL.OVIEDO;DISTRIBUCION;215
