"id","codigo","descripcion","tipo_id"
"752","4699","BAHIA NEGRA","132"
"753","4701","BLANQUITA","132"
"754","4702","BUENA VISTA","132"
"755","4703","CAACUPE","132"
"756","4704","CABARA-I","132"
"757","4705","CAP.CARMELO PERALTA","132"
"758","4706","CAVICHUI","132"
"759","4707","CERRITO JARA","132"
"760","4708","CERRITOS","132"
"761","4709","CERRO CORA","132"
"762","4710","CURUPAYTY","132"
"763","4711","GALPON","132"
"764","4712","ISIRIA","132"
"765","4713","LECHUZA","132"
"766","5822","MALDONADO","132"
"767","4714","PALOMAR","132"
"768","4715","PATRIA (EX. EN.)","132"
"769","4716","PATRIA I","132"
"770","4717","PORFIRIA","132"
"771","5823","POTRERITO","132"
"772","4718","POZO AZUL","132"
"773","4720","PUERTO ALVARENGA","132"
"774","4721","PUERTO CABALLO","132"
"775","5824","PUERTO DIANA","132"
"776","4722","PUERTO ESPERANZA","132"
"777","4723","PUERTO MERCEDES","132"
"778","4724","PUERTO RAMOS","132"
"779","4719","PUERTO 14 DE MAYO","132"
"780","4725","RANCHO PALOMA","132"
"781","5825","RIACHO ALEGRE","132"
"782","4726","SAMUHU Y CABANILLAS","132"
"783","4727","SAN LUIS","132"
"784","4728","SAN PABLO","132"
"785","4729","SAN SILVANO","132"
"786","5826","STA.ANA","132"
"787","4730","STA.CATALINA","132"
"788","4731","YUQUERI","132"
"789","4700","14 DE MAYO","132"
"790","4627","ALGARROBAL","132"
"791","4628","BARRERO","132"
"792","4629","BARRERO GRANDE","132"
"793","4630","CAMPAMENTO","132"
"794","4631","CAMPICHUELO","132"
"795","4632","CAMPO TORO","132"
"796","4634","CAÑADITA","132"
"797","4633","CAP.BADO","132"
"798","4635","COL.CARMELO","132"
"799","4636","COL.MARIA AUXILIADORA","132"
"800","4637","CORRALON","132"
"801","4638","CUARENTA","132"
"802","4639","CUÑATAI","132"
"803","4640","DON FELIPE FELTES","132"
"804","4641","EL TRIUNFO","132"
"805","4642","ESPERANZA","132"
"806","4643","ESTRELLA","132"
"807","4624","FUERTE OLIMPO","132"
"808","4645","GOMEZ","132"
"809","4644","GRAL.DIAZ","132"
"810","4646","IMAKATA","132"
"811","4647","ISLA CACA","132"
"812","4648","ISLA MARGARITA","132"
"813","4649","JOSE ZAVAN","132"
"814","4650","LA AMERICANA","132"
"815","4651","LAGUNA BLANCA","132"
"816","4653","MANDUVIRA","132"
"817","4654","MEDANO","132"
"818","4655","MOREL CUE","132"
"819","4652","M.PIRU","132"
"820","4656","NECESIDAD","132"
"821","4657","PERALTA","132"
"822","4658","PORVENIR","132"
"823","4659","POTRILLO","132"
"824","4660","PRIMAVERA","132"
"825","4661","PUERTO ESTHER","132"
"826","4662","PUERTO GUARANI","132"
"827","4663","PUERTO LEDA","132"
"828","4664","PUERTO LIDIA","132"
"829","4665","PUERTO MARIA AUXILIADORA","132"
"830","4666","PUERTO NUEVO","132"
"831","4667","PUERTO ROA","132"
"832","4668","PUERTO TRES PALMAS","132"
"833","4669","PUERTO VOLUNTAD","132"
"834","4670","PUERTO YBAPOBO","132"
"835","4671","PUESTO LATA","132"
"836","4672","QUEBRACHOS","132"
"837","4673","RANCHO QUEMADO","132"
"838","4674","RETIRO CERRITO","132"
"839","4675","RETIRO GAZURIAGA","132"
"840","4676","RETIRO KM.8","132"
"841","4677","RETIRO MARIA","132"
"842","4678","RETIRO PANTANAL","132"
"843","4679","RETIRO SAN MIGUEL","132"
"844","4680","RETIRO YBYCUI","132"
"845","4681","RIVAROLA CUE","132"
"846","4682","SAN ANTONIO","132"
"847","4683","SAN CARLOS","132"
"848","4684","SAN FRANCISCO","132"
"849","4685","SAN JORGE","132"
"850","4686","SAN JOSE","132"
"851","4687","SAN JUAN","132"
"852","4688","SAN MARCO","132"
"853","4689","SAN SALVADOR","132"
"854","4690","SOL.NACIENTE","132"
"855","4691","STA.EULALIA","132"
"856","4692","STA.GABRIELA","132"
"857","4693","STA.ISABEL","132"
"858","4694","STA.RUFINA","132"
"859","4695","TAYI COTY","132"
"860","4696","TIMBO","132"
"861","4697","TOROVAL","132"
"862","4698","TORRES","132"
"863","4625","14 DE MAYO","132"
"864","4626","3 TORITOS","132"
"865","5639","ALAMBIQUE","132"
"866","5640","BAPTISTA","132"
"867","5641","BARBARO","132"
"868","5642","CABO GIMENEZ","132"
"869","5643","CHOVORECA (BASE AEREA)","132"
"870","5644","CNEL.BOGADO","132"
"871","5645","CNEL.SANCHEZ","132"
"872","5646","FLORIDA","132"
"873","5647","JOSE M.LOPEZ","132"
"874","5648","LAGERENZA-I","132"
"875","5649","MADREJON","132"
"876","5650","MADREJONCITO","132"
"877","5638","MAYOR PABLO LAGERENZA","132"
"878","5651","MAYOR R.SANTACRUZ","132"
"879","5652","NUEVA TRIBU","132"
"880","5653","PALMAR DE LAS ISLAS","132"
"881","5654","PIKYRENDA","132"
"882","5655","SAN JOSE","132"
"883","5656","TAPACARE","132"
"884","5657","TRES LAGUNAS","132"
"885","5662","TTE. R.COCO RIVEROS","132"
"886","5659","TTE.AMERICO PICCO","132"
"887","5660","TTE.GABINO MENDOZA","132"
"888","5661","TTE.MARTINEZ","132"
"889","5658","TTE.1RO. H.MENDOZA","132"
"890","4732","CAMPAMENTO","132"
"891","4733","CAMPO SASTRE-PTO.SASTRE","132"
"892","5827","CASILLA","132"
"893","4734","JUAN CUE","132"
"894","4735","MINAS CUE","132"
"895","4736","PUERTO CASADO","132"
"896","4737","PUERTO PAGANI CUE","132"
"897","5828","STO.DOMINGO","132"
"898","4598","PTO.GUARANI","132"
"899","3386","AMAMBAY","132"
"900","3387","ARROYO MBY'A","132"
"901","3388","JARROYO MBY'A C-4","132"
"902","3389","BARRIO OBRERO","132"
"903","3412","CALLE MONDAY","132"
"904","3390","CALLE 10 ACARAY","132"
"905","3391","CALLE 10 MONDAY","132"
"906","3392","CALLE 12 ACARAY","132"
"907","3393","CALLE 12 MONDAY","132"
"908","3394","CALLE 14 ACARAY","132"
"909","3395","CALLE 14 MONDAY","132"
"910","3396","CALLE 16 ACARAY (RURAL)","132"
"911","3397","CALLE 16 MONDAY (URBANA)","132"
"912","3398","CALLE 18 ACARAY","132"
