"SUCURSALNOMBRE","DOCUMENTONOMBRE","SUCURSAL","PUNTOEMISION","TIMBRADO","'PREIMPRESO'","NROINICIAL","NROFINAL","VALIDODESDE","VALIDOHASTA"
"001 CASA MATRIZ                                   ","VENTASCREDITOS                                    ","001","001","11111111111","PREIMPRESO","1","999999","20/1/1900","30/12/2011"
"001 CASA MATRIZ                                   ","VENTASCREDITOS                                    ","001","001","38160660   ","PREIMPRESO","21700","25000","1/5/2011","17/10/2011"
"001 CASA MATRIZ                                   ","VENTASCREDITOS                                    ","001","001","82489355   ","PREIMPRESO","34501","37500","22/10/2012","7/2/2013"
"001 CASA MATRIZ                                   ","VENTASCREDITOS                                    ","001","001","10058919   ","PREIMPRESO","1","3000","22/5/2013","20/10/2013"
"001 CASA MATRIZ                                   ","VENTASCREDITOS                                    ","001","001","10259303   ","PREIMPRESO","3001","6000","21/10/2013","6/3/2014"
"001 CASA MATRIZ                                   ","VENTASCREDITOS                                    ","001","001","98510728   ","PREIMPRESO","31501","34500","10/7/2012","21/10/2012"
"001 CASA MATRIZ                                   ","VENTASCREDITOS                                    ","001","001","10830727   ","PREIMPRESO","12000","15000","3/12/2014","7/5/2015"
"001 CASA MATRIZ                                   ","VENTASCREDITOS                                    ","001","001","11371750   ","PREIMPRESO","21001","24000","16/12/2015","1/6/2016"
"001 CASA MATRIZ                                   ","VENTASCREDITOS                                    ","001","001","11575241   ","PREIMPRESO","24001","27000","2/6/2016","15/9/2016"
"001 CASA MATRIZ                                   ","VENTASCREDITOS                                    ","001","001","61821512   ","PREIMPRESO","29501","31500","20/4/2012","9/7/2012"
"001 CASA MATRIZ                                   ","VENTASCREDITOS                                    ","001","001","12451720   ","PREIMPRESO","39001","42000","14/11/2017","13/6/2018"
"001 CASA MATRIZ                                   ","VENTASCREDITOS                                    ","001","001","12747487   ","PREIMPRESO","42001","45000","14/6/2018","15/10/2018"
"007 001 SUCURSAL SAN IGNACIO                      ","VENTASCREDITOS                                    ","007","001","13514645   ","PREIMPRESO","1","300","17/7/2019","31/7/2020"
"001 CASA MATRIZ                                   ","VENTASCREDITOS                                    ","001","001","13760886   ","PREIMPRESO","55001","60000","14/11/2019","30/11/2020"
"008 001 SUCURSAL ENCARNACION                      ","VENTASCREDITOS                                    ","008","001","13894512   ","PREIMPRESO","1","500","27/1/2020","31/1/2021"
"007 001 SUCURSAL SAN IGNACIO                      ","VENTASCREDITOS                                    ","007","001","14272865   ","PREIMPRESO","401","700","18/8/2020","31/8/2021"
"007 001 SUCURSAL SAN IGNACIO                      ","VENTASCREDITOS                                    ","007","001","14069614   ","PREIMPRESO","301","400","12/5/2020","31/5/2021"
"001 CASA MATRIZ                                   ","VENTASCREDITOS                                    ","001","001","14149579   ","PREIMPRESO","60001","65000","22/6/2020","30/6/2021"
"001 CASA MATRIZ                                   ","VENTASCREDITOS                                    ","001","001","11115449   ","PREIMPRESO","18001","21000","11/9/2015","31/1/2016"
"001 CASA MATRIZ                                   ","VENTASCREDITOS                                    ","001","001","12262711   ","PREIMPRESO","36001","39000","19/9/2017","5/2/2018"
