"IDITEM","DEPOSITO","DEPOSITONOMBRE","ITEM","ITEMNOMBRE","CODIGOBARRA","FAMILIA","FAMILIAGRUPO","FAMILIANOMBRE","FAMILIAGRUPONOMBRE","ITEMMEDIDA","STOCK","COSTOLOCAL","IVA","COSTOIVA"
"118737","C2  ","CATEGORIA 2 SAN LORENZO       ","102052          ","DURAZNO ALMIBAR SARIC 12x820gr 7840207000143      ","7840207000143","19    ","193 ","ENLATADOS                                         ","DURAZNO                                           ","LATA      ","2,000000","11109,8705","10","12220,85755"
"118737","01  ","01 CASA MATRIZ                ","102052          ","DURAZNO ALMIBAR SARIC 12x820gr 7840207000143      ","7840207000143","19    ","193 ","ENLATADOS                                         ","DURAZNO                                           ","LATA      ","47233,000000","11108,7413","10","12219,61543"
"118737","40  ","40 ENCARNACION                ","102052          ","DURAZNO ALMIBAR SARIC 12x820gr 7840207000143      ","7840207000143","19    ","193 ","ENLATADOS                                         ","DURAZNO                                           ","LATA      ","4119,000000","9858,9062","10","10844,79682"
"118872","01  ","01 CASA MATRIZ                ","107031          ","PURE TOMATE 7DIAS  12x530g 7790036973357          ","7790036973357","17    ","22  ","PURE DE TOMATE                                    ","PURE DE TOMATE TETRA                              ","TETRA     ","183128,000000","2581,8869","10","2840,07559"
"118872","C3  ","CATEGORIA 3 SAN LORENZO       ","107031          ","PURE TOMATE 7DIAS  12x530g 7790036973357          ","7790036973357","17    ","22  ","PURE DE TOMATE                                    ","PURE DE TOMATE TETRA                              ","TETRA     ","6,000000","2578,9643","10","2836,86073"
"118872","C2  ","CATEGORIA 2 SAN LORENZO       ","107031          ","PURE TOMATE 7DIAS  12x530g 7790036973357          ","7790036973357","17    ","22  ","PURE DE TOMATE                                    ","PURE DE TOMATE TETRA                              ","TETRA     ","101,000000","2578,9643","10","2836,86073"
"118872","42  ","CATEG2 ENCARNACION            ","107031          ","PURE TOMATE 7DIAS  12x530g 7790036973357          ","7790036973357","17    ","22  ","PURE DE TOMATE                                    ","PURE DE TOMATE TETRA                              ","TETRA     ","140,000000","2126,1879","10","2338,80669"
"118872","40  ","40 ENCARNACION                ","107031          ","PURE TOMATE 7DIAS  12x530g 7790036973357          ","7790036973357","17    ","22  ","PURE DE TOMATE                                    ","PURE DE TOMATE TETRA                              ","TETRA     ","12704,000000","2581,0211","10","2839,12321"
"118872","52  ","52 CATEG2 OVIEDO                ","107031          ","PURE TOMATE 7DIAS  12x530g 7790036973357          ","7790036973357","17    ","22  ","PURE DE TOMATE                                    ","PURE DE TOMATE TETRA                              ","TETRA     ","204,000000","2114,0000","10","2325,4"
"118875","C2  ","CATEGORIA 2 SAN LORENZO       ","106038          ","VINO VIEJO VIÑEDO ROSADO 6x750cc 7790036948386    ","7790036948386","18    ","24  ","VINOS                                             ","VINO CLASICO BOTELLA                              ","BOTELLA   ","2,000000","9226,7594","10","10149,43534"
"118875","01  ","01 CASA MATRIZ                ","106038          ","VINO VIEJO VIÑEDO ROSADO 6x750cc 7790036948386    ","7790036948386","18    ","24  ","VINOS                                             ","VINO CLASICO BOTELLA                              ","BOTELLA   ","37,000000","9226,7594","10","10149,43534"
"118875","40  ","40 ENCARNACION                ","106038          ","VINO VIEJO VIÑEDO ROSADO 6x750cc 7790036948386    ","7790036948386","18    ","24  ","VINOS                                             ","VINO CLASICO BOTELLA                              ","BOTELLA   ","10,000000","9226,6265","10","10149,28915"
"118375","01  ","01 CASA MATRIZ                ","110012          ","RAZA PERRO ADULTO POLLO 12x1,5Kg 7791416065655    ","7791416065655","07    ","11  ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","BOLSA     ","2534,000000","8572,6679","10","9429,93469"
"118375","C2  ","CATEGORIA 2 SAN LORENZO       ","110012          ","RAZA PERRO ADULTO POLLO 12x1,5Kg 7791416065655    ","7791416065655","07    ","11  ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","BOLSA     ","2,000000","8745,0000","10","9619,5"
"118375","40  ","40 ENCARNACION                ","110012          ","RAZA PERRO ADULTO POLLO 12x1,5Kg 7791416065655    ","7791416065655","07    ","11  ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","BOLSA     ","51,000000","8572,1229","10","9429,33519"
"118375","52  ","52 CATEG2 OVIEDO                ","110012          ","RAZA PERRO ADULTO POLLO 12x1,5Kg 7791416065655    ","7791416065655","07    ","11  ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","BOLSA     ","39,000000","8275,0000","10","9102,5"
"118376","01  ","01 CASA MATRIZ                ","110013          ","RAZA PERRO ADULTO POLLO 6x3Kg  7791416065662      ","7791416065662","07    ","11  ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","BOLSA     ","906,000000","16704,1358","10","18374,54938"
"118376","C2  ","CATEGORIA 2 SAN LORENZO       ","110013          ","RAZA PERRO ADULTO POLLO 6x3Kg  7791416065662      ","7791416065662","07    ","11  ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","BOLSA     ","21,000000","16879,8298","10","18567,81278"
"118376","40  ","40 ENCARNACION                ","110013          ","RAZA PERRO ADULTO POLLO 6x3Kg  7791416065662      ","7791416065662","07    ","11  ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","BOLSA     ","13,000000","16692,0269","10","18361,22959"
"118376","52  ","52 CATEG2 OVIEDO                ","110013          ","RAZA PERRO ADULTO POLLO 6x3Kg  7791416065662      ","7791416065662","07    ","11  ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","BOLSA     ","6,000000","16236,0000","10","17859,6"
"118898","01  ","01 CASA MATRIZ                ","101090          ","AZ MORENA BOLSA x 50 Kg.                          ","101090       ","01    ","01  ","AZUCAR BOLSA                                      ","AZUCAR BOLSA 50K                                  ","BOLSA     ","2916,000000","176400,3206","10","194040,35266"
"118928","C2  ","CATEGORIA 2 SAN LORENZO       ","108021          ","ARROZ SARIC TIPO I  20x250gr  (7840207000501)     ","7840207000501","16    ","161 ","ALMACEN CENTRAL                                   ","ARROZ TIPO I                                      ","PAQUETE   ","10,000000","717,0000","5","752,85"
"119157","C3  ","CATEGORIA 3 SAN LORENZO       ","131007          ","QUESO RALLADO MANFREY 6x20x40gr 7791058000199     ","7791058000199","11    ","08  ","DERIVADOS LACTEOS                                 ","QUESO RALLADO                                     ","SOBRE     ","15,000000","3165,9999","10","3482,59989"
"119157","C2  ","CATEGORIA 2 SAN LORENZO       ","131007          ","QUESO RALLADO MANFREY 6x20x40gr 7791058000199     ","7791058000199","11    ","08  ","DERIVADOS LACTEOS                                 ","QUESO RALLADO                                     ","SOBRE     ","8,000000","3165,9999","10","3482,59989"
"119157","42  ","CATEG2 ENCARNACION            ","131007          ","QUESO RALLADO MANFREY 6x20x40gr 7791058000199     ","7791058000199","11    ","08  ","DERIVADOS LACTEOS                                 ","QUESO RALLADO                                     ","SOBRE     ","6,000000","2922,5838","10","3214,84218"
"119157","52  ","52 CATEG2 OVIEDO                ","131007          ","QUESO RALLADO MANFREY 6x20x40gr 7791058000199     ","7791058000199","11    ","08  ","DERIVADOS LACTEOS                                 ","QUESO RALLADO                                     ","SOBRE     ","121,000000","3165,0000","10","3481,5"
"119160","C2  ","CATEGORIA 2 SAN LORENZO       ","102010          ","DULC D LECHE MANFREY 12x400g  7791058010662       ","7791058010662","11    ","09  ","DERIVADOS LACTEOS                                 ","DULCE DE LECHE POTE                               ","POTE      ","3,000000","6085,0000","10","6693,5"
"119160","C3  ","CATEGORIA 3 SAN LORENZO       ","102010          ","DULC D LECHE MANFREY 12x400g  7791058010662       ","7791058010662","11    ","09  ","DERIVADOS LACTEOS                                 ","DULCE DE LECHE POTE                               ","POTE      ","1,000000","6085,0000","10","6693,5"
"118214","C2  ","CATEGORIA 2 SAN LORENZO       ","110010          ","RAZA PERRO ADULTO CARNE 12x1,5Kg 7791416001240    ","7791416001240","07    ","11  ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","BOLSA     ","30,000000","8735,1195","10","9608,63145"
"118214","01  ","01 CASA MATRIZ                ","110010          ","RAZA PERRO ADULTO CARNE 12x1,5Kg 7791416001240    ","7791416001240","07    ","11  ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","BOLSA     ","1554,000000","8509,9382","10","9360,93202"
"118214","40  ","40 ENCARNACION                ","110010          ","RAZA PERRO ADULTO CARNE 12x1,5Kg 7791416001240    ","7791416001240","07    ","11  ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","BOLSA     ","56,000000","8508,6753","10","9359,54283"
"118214","42  ","CATEG2 ENCARNACION            ","110010          ","RAZA PERRO ADULTO CARNE 12x1,5Kg 7791416001240    ","7791416001240","07    ","11  ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","BOLSA     ","2,000000","6504,4286","10","7154,87146"
"118214","52  ","52 CATEG2 OVIEDO                ","110010          ","RAZA PERRO ADULTO CARNE 12x1,5Kg 7791416001240    ","7791416001240","07    ","11  ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","BOLSA     ","25,000000","8302,0000","10","9132,2"
"118215","01  ","01 CASA MATRIZ                ","110011          ","RAZA PERRO ADULTO CARNE 3Kg 7791416001257         ","7791416001257","07    ","11  ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","BOLSA     ","1252,000000","16714,3649","10","18385,80139"
"118215","C2  ","CATEGORIA 2 SAN LORENZO       ","110011          ","RAZA PERRO ADULTO CARNE 3Kg 7791416001257         ","7791416001257","07    ","11  ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","BOLSA     ","7,000000","17179,0000","10","18896,9"
"118215","40  ","40 ENCARNACION                ","110011          ","RAZA PERRO ADULTO CARNE 3Kg 7791416001257         ","7791416001257","07    ","11  ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","BOLSA     ","12,000000","16714,3649","10","18385,80139"
