"SUCURSALNOMBRE","DOCUMENTONOMBRE","SUCURSAL","PUNTOEMISION","TIMBRADO","'PREIMPRESO'","NROINICIAL","NROFINAL","VALIDODESDE","VALIDOHASTA"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","001","10020314   ","PREIMPRESO","1","6000","19/4/2013","31/3/2014"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","001","10223583   ","PREIMPRESO","12001","18000","26/9/2013","30/9/2014"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","001","10351221   ","PREIMPRESO","18001","24000","23/12/2013","1/4/2014"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","001","10463293   ","PREIMPRESO","24001","30000","2/4/2014","17/6/2014"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","001","10610102   ","PREIMPRESO","30001","33000","18/6/2014","18/11/2014"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","002","10610102   ","PREIMPRESO","2001","5000","18/6/2014","18/11/2014"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","002","10661653   ","PREIMPRESO","5001","8000","19/8/2014","15/4/2015"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","001","10661653   ","PREIMPRESO","33001","36000","19/8/2014","15/4/2015"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","001","10724104   ","PREIMPRESO","36001","39000","9/10/2014","26/11/2014"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","001","10809787   ","PREIMPRESO","39001","42000","14/11/2014","1/2/2015"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","001","10882276   ","PREIMPRESO","42001","45000","2/2/2015","17/3/2015"
"001 CASA MATRIZ                                   ","VENTASCREDITOS                                    ","001","001","10972945   ","PREIMPRESO","15001","18000","17/3/2015","10/9/2015"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","001","10972945   ","PREIMPRESO","45001","48000","17/3/2015","10/9/2015"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","001","11197923   ","PREIMPRESO","54001","57000","4/9/2015","5/11/2015"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","001","11274579   ","PREIMPRESO","57001","62000","6/11/2015","2/3/2016"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","002","11460888   ","PREIMPRESO","19001","24000","3/3/2016","13/7/2016"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","001","11460888   ","PREIMPRESO","62001","67000","3/3/2016","13/7/2016"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","002","11616997   ","PREIMPRESO","24001","29000","22/6/2016","11/12/2016"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","001","11616997   ","PREIMPRESO","67001","72000","22/6/2016","11/12/2016"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","001","11786993   ","PREIMPRESO","72001","75000","29/9/2016","23/11/2016"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","001","11848814   ","PREIMPRESO","75001","80000","25/11/2016","26/3/2017"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","001","12055919   ","PREIMPRESO","80001","85000","27/3/2017","18/9/2017"
"001 CASA MATRIZ                                   ","VENTASCREDITOS                                    ","001","001","12055919   ","PREIMPRESO","33001","36000","27/3/2017","18/9/2017"
"001 CASA MATRIZ                                   ","VENTASCREDITOS                                    ","001","001","12262711   ","PREIMPRESO","36001","39000","9/8/2017","5/2/2018"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","001","12262711   ","PREIMPRESO","85001","90000","9/8/2017","5/2/2018"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","001","12451720   ","PREIMPRESO","90001","95000","14/11/2017","2/9/2018"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","002","12451720   ","PREIMPRESO","39001","44000","14/11/2017","2/9/2018"
"001 CASA MATRIZ                                   ","VENTASCREDITOS                                    ","001","001","12451720   ","PREIMPRESO","39001","42000","14/11/2017","2/9/2018"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","001","13750124   ","PREIMPRESO","120001","125000","8/11/2019","30/11/2020"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","001","14544500   ","PREIMPRESO","135001","140000","22/12/2020","31/12/2021"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","001","14830056   ","PREIMPRESO","140001","145000","5/5/2021","31/5/2022"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","002","15107746   ","PREIMPRESO","69001","74000","15/9/2021","30/9/2022"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","001","15107746   ","PREIMPRESO","145001","150000","15/9/2021","30/9/2022"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","001","15419901   ","PREIMPRESO","150001","155000","8/2/2022","28/2/2023"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","002","10549752   ","PREIMPRESO","1","2000","16/5/2014","30/6/2014"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","002","10888126   ","PREIMPRESO","8001","11000","16/4/2015","16/7/2015"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","002","11106987   ","PREIMPRESO","11001","14000","17/7/2015","18/10/2015"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","002","11248161   ","PREIMPRESO","14001","19000","22/9/2015","9/3/2016"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","002","11828585   ","PREIMPRESO","29001","34000","12/12/2016","6/7/2017"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","002","12165141   ","PREIMPRESO","34001","39000","6/7/2017","31/5/2018"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","002","12842794   ","PREIMPRESO","44001","49000","8/8/2018","31/7/2019"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","001","12842794   ","PREIMPRESO","100001","105000","8/8/2018","31/7/2019"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","002","13778579   ","PREIMPRESO","54001","59000","27/1/2020","30/11/2020"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","002","14247061   ","PREIMPRESO","59001","64000","5/8/2020","31/8/2021"
"001 CASA MATRIZ                                   ","VENTASCREDITOS                                    ","001","001","14679191   ","PREIMPRESO","65001","68000","24/2/2021","28/2/2022"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","002","14679191   ","PREIMPRESO","64001","69000","24/2/2021","28/2/2022"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","002","15408708   ","PREIMPRESO","74000","79000","3/2/2022","28/2/2023"
"007 001 SUCURSAL SAN IGNACIO                      ","VENTASCREDITOS                                    ","007","001","13514645   ","PREIMPRESO","1","300","16/7/2019","31/7/2020"
"007 001 SUCURSAL SAN IGNACIO                      ","VENTAS                                            ","007","001","13514645   ","PREIMPRESO","1","500","16/7/2019","31/7/2020"
"007 001 SUCURSAL SAN IGNACIO                      ","VENTASCREDITOS                                    ","007","001","14069614   ","PREIMPRESO","301","400","12/5/2020","31/5/2021"
"007 001 SUCURSAL SAN IGNACIO                      ","VENTAS                                            ","007","001","14069614   ","PREIMPRESO","2501","3500","12/5/2020","31/5/2021"
"001 CASA MATRIZ                                   ","VENTAS                                            ","001","001","14069614   ","PREIMPRESO","125001","130000","12/5/2020","31/5/2021"
"008 001 SUCURSAL ENCARNACION                      ","VENTASCREDITOS                                    ","008","001","13894512   ","PREIMPRESO","1","500","27/1/2020","31/1/2021"
"008 001 SUCURSAL ENCARNACION                      ","VENTAS                                            ","008","001","13894512   ","PREIMPRESO","1","1000","27/1/2020","31/1/2021"
"008 001 SUCURSAL ENCARNACION                      ","VENTAS                                            ","008","001","14607401   ","PREIMPRESO","4001","7500","25/1/2021","31/1/2022"
"008 001 SUCURSAL ENCARNACION                      ","VENTASCREDITOS                                    ","008","001","14607401   ","PREIMPRESO","1501","2000","25/1/2021","31/1/2022"
"008 001 SUCURSAL ENCARNACION                      ","VENTAS                                            ","008","001","15317194   ","PREIMPRESO","7501","10500","20/12/2021","31/12/2022"
"009 001 SUCURSAL CNEL OVIEDO                      ","VENTASCREDITOS                                    ","010","001","14844863   ","PREIMPRESO","1","300","13/5/2021","31/5/2022"
"009 001 SUCURSAL CNEL OVIEDO                      ","VENTAS                                            ","010","001","14844863   ","PREIMPRESO","1","2000","13/5/2021","31/5/2022"
"001 CASA MATRIZ                                   ","VENTASCREDITOS                                    ","001","001","10590749   ","PREIMPRESO","9001","12000","9/7/2014","2/12/2014"
