"CODIGO","NOMBRE","CUOTAS","DIASCUOTA"
"10 ","CH 1 DIA                                          ","1","1"
"11 ","CH 8 DIAS                                         ","1","8"
"12 ","CH 15 DIAS                                        ","1","15"
"13 ","CH 20 DIAS                                        ","1","20"
"14 ","CH 30 DIAS                                        ","1","30"
"15 ","CH 45 DIAS                                        ","1","45"
"16 ","SF 37 DIAS                                        ","1","37"
"17 ","CH 90 DIAS                                        ","1","90"
"18 ","SF 67 DIAS                                        ","1","67"
"19 ","CH 37 DIAS                                        ","1","37"
"2  ","CREDITO 2 DIAS                                    ","1","2"
"20 ","SF 180 DIAS                                       ","1","180"
"21 ","CH 60 DIAS                                        ","1","30"
"24 ","SF 26 DIAS                                        ","1","26"
"25 ","SF 52 DIAS                                        ","1","52"
"26 ","SF 150 DIAS                                       ","1","150"
"27 ","SF 152 DIAS                                       ","1","152"
"275","SF 275 Dias                                       ","1","270"
"28 ","SF 165 DIAS                                       ","1","165"
"29 ","SF 173 DIAS                                       ","1","173"
"3  ","SF 8 DIAS                                         ","1","8"
"30 ","SF 120 DIAS                                       ","1","120"
"31 ","SF 365 DIAS                                       ","1","365"
"32 ","SF 360 DIAS                                       ","1","360"
"33 ","SF 455 DIAS                                       ","1","455"
"4  ","SF 15 DIAS                                        ","1","15"
"5  ","SF 20 DIAS                                        ","1","20"
"6  ","SF 30 DIAS                                        ","1","30"
"60 ","SF  6 CUOTAS                                      ","6","30"
"61 ","SF 4 CUOTAS                                       ","4","30"
"62 ","SF 2 CUOTAS                                       ","2","30"
"63 ","SF 3 CUOTAS                                       ","3","30"
"64 ","SF 10 CUOTAS                                      ","10","30"
"65 ","SF 24 CUOTAS                                      ","24","30"
"66 ","SF 1275                                           ","1","1275"
"67 ","SF 18 CUOTAS                                      ","18","30"
"68 ","SF 30 CUOTAS                                      ","30","30"
"7  ","SF 45 DIAS                                        ","1","45"
"8  ","SF 60 DIAS                                        ","1","60"
"9  ","SF 90 DIAS                                        ","1","90"
