"CODIGO","NOMBRE","FAMILIANOMBRE","FAMILIAGRUPONOMBRE","BASEIVA","IVA","IMPUESTOGRUPONOMBRE","UNEGOCIO","MARCA","RUCPROVEEDOR","PROVEEDOR","CODIGOBARRA","UBICACION","PESO","STOCKPORLOTE","MEDIDA","PRESENTACION","CONTIENEUNIDADES","IMPORTADO","ROWID"
"108021          ","ARROZ SARIC TIPO I  20x250gr  (7840207000501)     ","ALMACEN CENTRAL                                   ","ARROZ TIPO I                                      ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","SARIC                         ","80010388-2 ","ALBERTO GILES AGRO-EXPORTADORA CISA               ","7840207000501"," .        ","0,250000","0","PAQUETE   ","PAQUETE   ","1,000000","F","AAAW09AAEAAC4U3AAn"
"108003          ","ARROZ SARIC TIPO II 20x250gr (7840207000532)      ","ALMACEN CENTRAL                                   ","ARROZ TIPO II                                     ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","SARIC                         ","80010388-2 ","ALBERTO GILES AGRO-EXPORTADORA CISA               ","7840207000532"," .        ","0,250000","0","PAQUETE   ","PAQUETE   ","1,000000","F","AAAW09AAEAAC4VaAAQ"
"108018          ","ARROZ SARIC TIPO I  10x500gr (7840207000518)      ","ALMACEN CENTRAL                                   ","ARROZ TIPO I                                      ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","SARIC                         ","80010388-2 ","ALBERTO GILES AGRO-EXPORTADORA CISA               ","7840207000518","          ","0,500000","0","PAQUETE   ","PAQUETE   ","1,000000","F","AAAW09AAEAAC4V6AAK"
"126221          ","YERBA ORGANICA FD ANIS 24x250gr. 7840380000633    ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","FEDE RICO                     ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000633","B104      ","0,250000","0","Unidad    ","Unidad    ","1,000000","F","AAAW09AAEAAC4kfAAU"
"126220          ","YERBA ORGANICA FD ANIS 12x500gr. 7840380000640    ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","FEDE RICO                     ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000640","B103      ","0,500000","0","Unidad    ","Unidad    ","1,000000","F","AAAW09AAEAAC4kfAAT"
"126215          ","YERBA ORGANICA ESPECIAL 24x250gr 7840380000305    ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","ESPECIAL                      ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000305","B102      ","0,269000","0","Unidad    ","Unidad    ","1,000000","F","AAAW09AAEAAC4V1AAl"
"126213          ","YERBA ORGANICA ESPECIAL 12x500g 7840380000312     ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","ESPECIAL                      ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000312","B101      ","0,556000","0","Unidad    ","Unidad    ","1,000000","F","AAAW09AAEAAC4V/AA0"
"126212          ","YERBA ORGANICA MEJOR 12x500g 7840380000121        ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","LA MEJOR                      ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000121","B097      ","0,568000","0","Unidad    ","Unidad    ","1,000000","F","AAAW09AAEAAC4V/AAz"
"126208          ","YERBA ORGANICA FEDE RICO 12x500g 7840380000114    ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","FEDE RICO                     ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000114","B095      ","0,545000","0","Unidad    ","Unidad    ","1,000000","F","AAAW09AAEAAC4V+AA1"
"126207          ","YERBA ORGANICA FEDE 24x250g 7840380000138         ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","FEDE RICO                     ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000138","B096      ","0,259000","0","Unidad    ","Unidad    ","1,000000","F","AAAW09AAEAAC4V+AA0"
"126219          ","YERBA ORG.MENTA/LIMON 12x500G 7840380000664       ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","ESPECIAL                      ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000664","B099      ","0,500000","0","Unidad    ","Unidad    ","1,000000","F","AAAW09AAEAAC4kaAAS"
"126218          ","YERBA ORG.MENTA/LIMON 24x250g 7840380000657       ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","ESPECIAL                      ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000657","B100      ","0,250000","0","Unidad    ","Unidad    ","1,000000","F","AAAW09AAEAAC4kaAAR"
"126211          ","YERBA ORGANICA MEJOR 24x250g 7840380000190        ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","LA MEJOR                      ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000190","B098      ","0,291000","0","Unidad    ","Unidad    ","1,000000","F","AAAW09AAEAAC4V0AAR"
"126210          ","YERBA ORGANICA POTENTE 12x500g 7840380000107      ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","LA POTENTE                    ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000107","B093      ","0,504000","0","Unidad    ","Unidad    ","1,000000","F","AAAW09AAEAAC4V0AAQ"
"126209          ","YERBA ORGANICA POTENTE 24x250g 7840380000145      ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","LA POTENTE                    ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000145","B094      ","0,269000","0","Unidad    ","Unidad    ","1,000000","F","AAAW09AAEAAC4V0AAP"
"69257           ","GATO GAUCHO PESCADO x 500g 7791416069257          ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","GAUCHO                        ","NUTRIPET   ","NUTRIPET S.A.U.                                   ","7791416069257","B076      ","0,520000","0","Unidad    ","Unidad    ","1,000000","T","AAAW09AAEAAEFPhAAg"
"69202           ","GAUCHO PERRO ADULTO CARNE x 1.5gr 7791416069202   ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","GAUCHO                        ","NUTRIPET   ","NUTRIPET S.A.U.                                   ","7791416069202","B075      ","1,537000","0","Unidad    ","Unidad    ","1,000000","T","AAAW09AAEAAEFPhAAf"
"090039          ","RAZA BARRITA JAMON 20x30g   7791416090039         ","ALIMENTO P/PERROS                                 ","SNACK p/PERRO                                     ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","NUTRIPET   ","NUTRIPET S.A.U.                                   ","7791416090039","A130      ","0,030000","0","Unidad    ","Unidad    ","1,000000","T","AAAW09AAEAAC4klAAB"
