"CODIGO","NOMBRE","FAMILIANOMBRE","FAMILIAGRUPONOMBRE","BASEIVA","IVA","IMPUESTOGRUPONOMBRE","UNEGOCIO","MARCA","RUCPROVEEDOR","PROVEEDOR","CODIGOBARRA","UBICACION","PESO","STOCKPORLOTE","MEDIDA","ITEMMEDIDA","CONTIENEUNIDADES","IMPORTADO"
"108021          ","ARROZ SARIC TIPO I  20x250gr  (7840207000501)     ","ALMACEN CENTRAL                                   ","ARROZ TIPO I                                      ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","SARIC                         ","80010388-2 ","ALBERTO GILES AGRO-EXPORTADORA CISA               ","7840207000501"," .        ","0,250000","0","PAQUETE   ","FARDO     ","20,000000","F"
"108003          ","ARROZ SARIC TIPO II 20x250gr (7840207000532)      ","ALMACEN CENTRAL                                   ","ARROZ TIPO II                                     ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","SARIC                         ","80010388-2 ","ALBERTO GILES AGRO-EXPORTADORA CISA               ","7840207000532"," .        ","0,250000","0","PAQUETE   ","FARDO     ","20,000000","F"
"108018          ","ARROZ SARIC TIPO I  10x500gr (7840207000518)      ","ALMACEN CENTRAL                                   ","ARROZ TIPO I                                      ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","SARIC                         ","80010388-2 ","ALBERTO GILES AGRO-EXPORTADORA CISA               ","7840207000518","          ","0,500000","0","PAQUETE   ","FARDO     ","10,000000","F"
"126221          ","YERBA ORGANICA FD ANIS 24x250gr. 7840380000633    ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","FEDE RICO                     ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000633","B104      ","0,250000","0","Unidad    ","CAJA      ","24,000000","F"
"126220          ","YERBA ORGANICA FD ANIS 12x500gr. 7840380000640    ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","FEDE RICO                     ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000640","B103      ","0,500000","0","Unidad    ","CAJA      ","12,000000","F"
"126215          ","YERBA ORGANICA ESPECIAL 24x250gr 7840380000305    ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","ESPECIAL                      ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000305","B102      ","0,269000","0","Unidad    ","FARDO     ","24,000000","F"
"126213          ","YERBA ORGANICA ESPECIAL 12x500g 7840380000312     ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","ESPECIAL                      ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000312","B101      ","0,556000","0","Unidad    ","CAJA      ","12,000000","F"
"126212          ","YERBA ORGANICA MEJOR 12x500g 7840380000121        ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","LA MEJOR                      ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000121","B097      ","0,568000","0","Unidad    ","FARDO     ","12,000000","F"
"126208          ","YERBA ORGANICA FEDE RICO 12x500g 7840380000114    ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","FEDE RICO                     ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000114","B095      ","0,545000","0","Unidad    ","FARDO     ","12,000000","F"
"126207          ","YERBA ORGANICA FEDE 24x250g 7840380000138         ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","FEDE RICO                     ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000138","B096      ","0,259000","0","Unidad    ","FARDO     ","24,000000","F"
"126219          ","YERBA ORG.MENTA/LIMON 12x500G 7840380000664       ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","ESPECIAL                      ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000664","B099      ","0,500000","0","Unidad    ","CAJA      ","12,000000","F"
"126218          ","YERBA ORG.MENTA/LIMON 24x250g 7840380000657       ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","ESPECIAL                      ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000657","B100      ","0,250000","0","Unidad    ","CAJA      ","24,000000","F"
"126211          ","YERBA ORGANICA MEJOR 24x250g 7840380000190        ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","LA MEJOR                      ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000190","B098      ","0,291000","0","Unidad    ","FARDO     ","24,000000","F"
"126210          ","YERBA ORGANICA POTENTE 12x500g 7840380000107      ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","LA POTENTE                    ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000107","B093      ","0,504000","0","Unidad    ","FARDO     ","12,000000","F"
"126209          ","YERBA ORGANICA POTENTE 24x250g 7840380000145      ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","LA POTENTE                    ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000145","B094      ","0,269000","0","Unidad    ","FARDO     ","24,000000","F"
"101000          ","AZ MORENA SARIC 30x1 Kg.  7840207000013           ","AZUCAR FRACCIONADA                                ","AZUCAR FRACCIONADA SARIC                          ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","SARIC                         ","80002375-7 ","S.A. RURAL,INDUSTRIAL Y COMERCIAL                 ","7840207000013","B000      ","1,000000","1","PAQUETE   ","FARDO     ","30,000000","F"
"101002          ","AZ MORENA SARIC 6x5 Kg. 7840207000020             ","AZUCAR FRACCIONADA                                ","AZUCAR FRACCIONADA SARIC                          ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","SARIC                         ","80002375-7 ","S.A. RURAL,INDUSTRIAL Y COMERCIAL                 ","7840207000020","B000      ","5,000000","1","PAQUETE   ","FARDOS    ","6,000000","F"
"110013          ","RAZA PERRO ADULTO POLLO 6x3Kg  7791416065662      ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416065662","B087      ","3,060000","0","BOLSA     ","FARDO     ","6,000000","T"
"110012          ","RAZA PERRO ADULTO POLLO 12x1,5Kg 7791416065655    ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416065655","B088      ","1,537000","0","BOLSA     ","FARDO     ","12,000000","T"
