"CODIGO","NOMBRE","FAMILIANOMBRE","FAMILIAGRUPONOMBRE","BASEIVA","IVA","IMPUESTOGRUPONOMBRE","UNEGOCIO","MARCA","RUCPROVEEDOR","PROVEEDOR","CODIGOBARRA","UBICACION","GRAMOS","STOCKPORLOTE","UNIDADBASE","PRESENTACION","CONTIENEUNIDADES","IMPORTADO"
"101090          ","AZ MORENA BOLSA x 50 Kg.                          ","AZUCAR BOLSA                                      ","AZUCAR BOLSA 50K                                  ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","SARIC                         ","80003910-6 ","ALCOHOLES Y CARBURANTES S.R.L                     ",""," .        ","50000","0","Unidad","BOLSA     ","1,000000","F"
"108021          ","ARROZ SARIC TIPO I  20x250gr  (7840207000501)     ","ALMACEN CENTRAL                                   ","ARROZ TIPO I                                      ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","SARIC                         ","80010388-2 ","ALBERTO GILES AGRO-EXPORTADORA CISA               ","7840207000501"," .        ","250","0","Unidad","FARDO     ","20,000000","F"
"108021          ","ARROZ SARIC TIPO I  20x250gr  (7840207000501)     ","ALMACEN CENTRAL                                   ","ARROZ TIPO I                                      ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","SARIC                         ","80010388-2 ","ALBERTO GILES AGRO-EXPORTADORA CISA               ","7840207000501"," .        ","250","0","Unidad","PAQUETE   ","1,000000","F"
"108003          ","ARROZ SARIC TIPO II 20x250gr (7840207000532)      ","ALMACEN CENTRAL                                   ","ARROZ TIPO II                                     ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","SARIC                         ","80010388-2 ","ALBERTO GILES AGRO-EXPORTADORA CISA               ","7840207000532"," .        ","250","0","Unidad","FARDO     ","20,000000","F"
"108003          ","ARROZ SARIC TIPO II 20x250gr (7840207000532)      ","ALMACEN CENTRAL                                   ","ARROZ TIPO II                                     ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","SARIC                         ","80010388-2 ","ALBERTO GILES AGRO-EXPORTADORA CISA               ","7840207000532"," .        ","250","0","Unidad","PAQUETE   ","1,000000","F"
"108018          ","ARROZ SARIC TIPO I  10x500gr (7840207000518)      ","ALMACEN CENTRAL                                   ","ARROZ TIPO I                                      ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","SARIC                         ","80010388-2 ","ALBERTO GILES AGRO-EXPORTADORA CISA               ","7840207000518","          ","500","0","Unidad","FARDO     ","10,000000","F"
"108018          ","ARROZ SARIC TIPO I  10x500gr (7840207000518)      ","ALMACEN CENTRAL                                   ","ARROZ TIPO I                                      ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","SARIC                         ","80010388-2 ","ALBERTO GILES AGRO-EXPORTADORA CISA               ","7840207000518","          ","500","0","Unidad","PAQUETE   ","1,000000","F"
"126221          ","YERBA ORGANICA FD ANIS 24x250gr. 7840380000633    ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","FEDE RICO                     ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000633","B104      ","250","0","Unidad","CAJA      ","24,000000","F"
"126221          ","YERBA ORGANICA FD ANIS 24x250gr. 7840380000633    ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","FEDE RICO                     ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000633","B104      ","250","0","Unidad","Unidad    ","1,000000","F"
"126220          ","YERBA ORGANICA FD ANIS 12x500gr. 7840380000640    ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","FEDE RICO                     ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000640","B103      ","500","0","Unidad","CAJA      ","12,000000","F"
