"CODIGO","NOMBRE","FAMILIANOMBRE","FAMILIAGRUPONOMBRE","BASEIVA","IVA","IMPUESTOGRUPONOMBRE","UNEGOCIO","MARCA","RUCPROVEEDOR","PROVEEDOR","CODIGOBARRA","UBICACION","GRAMOS","STOCKPORLOTE","UNIDADBASE","PRESENTACION","CONTIENEUNIDADES","IMPORTADO","LOCACION","ROWID"
"771003          ","HILO DE POLIESTER DE 3 Kg AZUL                    ","INSUMOS INDUSTRIALES                              ","HILOS                                             ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","HAPETE                        ","99999901-05","HAPETE INDUSTRIAL THREAD MANUFACTURER             ",""," .        ","3250","0","Unidad","CAJA      ","12,000000","T","3","AAAjGgAAEAAFB8cAAB"
"771004          ","HILO DE POLIESTER DE 1x3Kg VERDE                  ","INSUMOS INDUSTRIALES                              ","HILOS                                             ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","HAPETE                        ","99999901-05","HAPETE INDUSTRIAL THREAD MANUFACTURER             ",""," .        ","3250","0","Unidad","CAJA      ","12,000000","T","3","AAAjGgAAEAAFB8cAAD"
"771007          ","HILO DE POLIESTER MAMBO 3 Kg ROJO                 ","INSUMOS INDUSTRIALES                              ","HILOS                                             ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","HAPETE                        ","99999901-05","HAPETE INDUSTRIAL THREAD MANUFACTURER             ",""," .        ","3250","0","Unidad","CAJA      ","12,000000","T","3","AAAjGgAAEAAFB8cAAF"
"771008          ","HILO DE POLIESTER MAMBO 3 Kg MARRON               ","INSUMOS INDUSTRIALES                              ","HILOS                                             ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","HAPETE                        ","99999901-05","HAPETE INDUSTRIAL THREAD MANUFACTURER             ",""," .        ","3250","0","Unidad","CAJA      ","12,000000","T","3","AAAjGgAAEAAFB8cAAH"
"771010          ","HILO DE POLIESTER MAMBO 3 Kg VERDE                ","INSUMOS INDUSTRIALES                              ","HILOS                                             ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","HAPETE                        ","99999901-05","HAPETE INDUSTRIAL THREAD MANUFACTURER             ",""," .        ","3250","0","Unidad","CAJA      ","12,000000","T","3","AAAjGgAAEAAFB8cAAJ"
"771022          ","HILO DE POLIESTER 5 Kg AZUL                       ","INSUMOS INDUSTRIALES                              ","HILOS                                             ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","HAPETE                        ","99999901-05","HAPETE INDUSTRIAL THREAD MANUFACTURER             ","             ","          ","5273","0","Unidad","CAJA      ","9,000000","T","3","AAAjGgAAEAAFB8cAAL"
"771023          ","HILO POLIESTER 5 Kg VERDE                         ","INSUMOS INDUSTRIALES                              ","HILOS                                             ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","HAPETE                        ","99999901-05","HAPETE INDUSTRIAL THREAD MANUFACTURER             ","             ","          ","5273","0","Unidad","CAJA      ","9,000000","T","3","AAAjGgAAEAAFB8cAAN"
"771013          ","HILO DE POLIESTER 200 gr AZUL                     ","INSUMOS INDUSTRIALES                              ","HILOS                                             ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","HAPETE                        ","99999901-05","HAPETE INDUSTRIAL THREAD MANUFACTURER             ","             ","          ","232","0","Unidad","CAJA      ","120,000000","T","3","AAAjGgAAEAAFB8cAAP"
"771014          ","HILO DE POLIESTER 200 gr VERDE                    ","INSUMOS INDUSTRIALES                              ","HILOS                                             ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","HAPETE                        ","99999901-05","HAPETE INDUSTRIAL THREAD MANUFACTURER             ","             ","          ","232","0","Unidad","CAJA      ","120,000000","T","3","AAAjGgAAEAAFB8dAAA"
"771015          ","HILO DE POLIESTER 200 gr MAMBO ROJO               ","INSUMOS INDUSTRIALES                              ","HILOS                                             ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","HAPETE                        ","99999901-05","HAPETE INDUSTRIAL THREAD MANUFACTURER             ","             ","          ","232","0","Unidad","CAJA      ","120,000000","T","3","AAAjGgAAEAAFB8dAAC"
"771016          ","HILO POLIESTER 200 gr MAMBO MARRON                ","INSUMOS INDUSTRIALES                              ","HILOS                                             ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","HAPETE                        ","99999901-05","HAPETE INDUSTRIAL THREAD MANUFACTURER             ","             ","          ","232","0","Unidad","CAJA      ","120,000000","T","3","AAAjGgAAEAAFB8dAAE"
"771017          ","HILO DE POLIESTER 200 gr MAMBO VERDE              ","INSUMOS INDUSTRIALES                              ","HILOS                                             ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","HAPETE                        ","99999901-05","HAPETE INDUSTRIAL THREAD MANUFACTURER             ","             ","          ","232","0","Unidad","CAJA      ","120,000000","T","3","AAAjGgAAEAAFB8dAAG"
"101002          ","AZ MORENA SARIC 6x5 Kg. 7840207000020             ","AZUCAR FRACCIONADA                                ","AZUCAR FRACCIONADA SARIC                          ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","SARIC                         ","80002375-7 ","S.A. RURAL,INDUSTRIAL Y COMERCIAL                 ","7840207000020","B000      ","5000","1","Unidad","FARDO     ","6,000000","F","3","AAAjGgAAEAAFB8dAAI"
