"CODIGO","NOMBRE"
"03","GANADERIA                     "
"04","FORESTAL                      "
"70","AV_GASTOS_PEND_REPOSICION     "
"71","AV_GASTOS_CLIENTES            "
"72","AV_SARIC                      "
"73","AV_DESPACHANTES               "
"74","AV_PROVISIONES                "
"75","AV_OTROS_ACREED_VARIOS        "
"80","PM_AZPA                       "
"86","AV_RETENCIONES_CLIENTES       "
"87","AV_HONORARIOS                 "
"88","AV_FLETES                     "
"89","AV_ANTICIPO_CLIENTE           "
"91","PM_DISTRIBUCION VARIOS        "
"92","PROVEED. DE PRODUCTOS EXTERIOR"
"93","PROVEED. DE SERVICIOS         "
"94","PROVEED. DE GASTOS            "
"96","GESTION ADMINISTRATIVA        "
